Month,FullTime,PartTime,Intern,Contract,Terminate,Operational Cost,
201901,240422,16413,835,38813,"2,360","5,367,754,214",
201902,,,,,"2,263","5,453,119,476",
201903,239491,16789,1060,39743,"3,966","5,527,625,882",
201904,,,,,"3,873","5,367,286,525",
201905,,,,,"4,029","5,427,404,580",
201906,240745,16781,3970,40269,,5460975560,
201907,239914,16823,892,40836,"3,526","5,514,152,280",
201908,240540,17140,864,40941,"4,463","5,294,418,929",
201909,240099,17209,828,40860,3307,5562963592,
201910,239750,17336,835,40495,"3,499","5,431,569,466",
201911,239787,17437,691,39452,"3,121","5,372,738,622",
201912,240072,17415,921,39025,"2,536","5,488,578,409",
202001,240129,17295,871,39072,2322,5548936902,
202002,239623,17341,964,39071,2477,5586125910,
202003,239851,17149,1087,39440,3460,5655456001,
202004,239471,17188,1036,39764,1723,5479073630,
202005,240204,16748,3792,39641,1450,5365968365,
202006,240562,16367,3751,39620,1907,6097433115,
202007,241122,15720,751,39693,"2,347","5,226,515,019",
202008,241143,15479,798,39348,"3,072","5,328,335,989",
202009,240465,15337,776,39129,"2,658","6,320,188,957",
202010,239938,15628,786,39639,"3,012","5,195,992,908",
202011,239934,15684,761,38993,"2,978","5,383,124,131",
202012,240450,15541,927,39347,"2,366","5,469,184,359",
202101,242522,15872,985,40016,"2,322","5,781,318,298",
202102,243078,16454,1174,40793,"2,340","6,485,118,656",
202103,242820,16653,1327,41323,"3,380","6,458,215,154",
202104,242809,16685,1595,42379,"4,332","5,771,060,621",
202105,243622,16735,4334,42650,"4,374","5,761,497,750",
202106,245044,16390,3823,43273,4209,6134629683,
202107,247204,16539,991,44111,"4,904","5,635,403,313",
202108,248829,16888,1041,45094,"4,047","5,815,147,585",
202109,250814,17402,1068,45631,"4,119","5,613,198,593",
202110,253539,17466,982,46805,"3,947","5,804,690,570",
202111,254248,17044,889,46501,"3,746","5,838,129,642",
202112,256753,16645,1354,46761,"3,432","6,244,827,046",
202201,257855,16413,1407,47758,"3,353","6,267,200,553",
202202,257981,16253,1539,48734,"3,347","6,316,088,568",
202203,257709,16192,1803,49747,"5,005","6,607,571,114",
202204,259352,16064,2023,51296,"5,655","6,196,653,847",
202205,261406,15986,5786,50544,"4,610","6,304,692,190",
202206,264594,16245,4770,51694,"4,569","6,248,401,310",
202207,267528,17146,1166,52603,"4,641","6,328,446,494",
202208,270541,17346,1198,53226,"4,693","6,409,917,956",
202209,273473,17311,1096,52928,"3,788","6,439,338,266",
202210,275127,17353,1074,50560,"3,362","6,311,456,310",
202211,276036,17068,1007,50037,"3,308","6,417,671,530",
202212,277913,16754,1308,49329,"2,678","6,293,637,497",
202301,279409,16684,1851,49488,"2,447","6,597,455,281",
202302,279829,16579,1918,49806,"2,245","6,748,217,560",
202303,280792,16357,2265,49491,"4,027","6,761,776,468",
202304,281661,16433,2329,49499,3345,6515768436,
202305,283386,16381,6006,49814,3322,7013364432,
202306,290142,16580,5624,51298,3013,7292365709,
202307,291268,16588,1117,52301,3528,6943961563,
202308,291958,16604,1125,53114,3443,7125336887,
202309,293247,16655,1068,53343,3236,7688131046,
202310,293722,16676,1087,53685,2681,6993508343,
202311,293612,16484,937,53934,2562,9804054358,
202312,294960,16492,1492,53854,2460,7688805202,
