Month,FullTime,PartTime,Intern,Contract,Terminate,Operational Cost
201901,240422,16413,835,38813,2360,"5,367,754,214.01"
201902,239957,16601,947.5,39278,2263,"5,453,119,475.99"
201903,239491,16789,1060,39743,3966,"5,527,625,881.98"
201904,240027,16749,1717,40032,3873,"5,367,286,525.00"
201905,240027,16749,1717,40032,4029,"5,427,404,579.99"
201906,240745,16781,3970,40269,3778,"5,460,975,560.01"
201907,239914,16823,892,40836,3526,"5,514,152,279.99"
201908,240540,17140,864,40941,4463,"5,294,418,929.01"
201909,240099,17209,828,40860,3307,"5,562,963,591.99"
201910,239750,17336,835,40495,3499,"5,431,569,466.00"
201911,239787,17437,691,39452,3121,"5,372,738,622.01"
201912,240072,17415,921,39025,2536,"5,488,578,409.01"
202001,240129,17295,871,39072,2322,"5,548,936,902.04"
202002,239623,17341,964,39071,2477,"5,586,125,909.93"
202003,239851,17149,1087,39440,3460,"5,655,456,000.92"
202004,239471,17188,1036,39764,1723,"5,479,073,629.97"
202005,240204,16748,3792,39641,1450,"5,365,968,364.97"
202006,240562,16367,3751,39620,1907,"6,097,433,114.97"
202007,241122,15720,751,39693,2347,"5,226,515,018.95"
202008,241143,15479,798,39348,3072,"5,328,335,988.96"
202009,240465,15337,776,39129,2658,"6,320,188,956.99"
202010,239938,15628,786,39639,3012,"5,195,992,907.95"
202011,239934,15684,761,38993,2978,"5,383,124,130.96"
202012,240450,15541,927,39347,2366,"5,469,184,358.96"
202101,242522,15872,985,40016,2322,"5,781,318,297.98"
202102,243078,16454,1174,40793,2340,"6,485,118,656.00"
202103,242820,16653,1327,41323,3380,"6,458,215,153.99"
202104,242809,16685,1595,42379,4332,"5,771,060,621.00"
202105,243622,16735,4334,42650,4374,"5,761,497,750.00"
202106,245044,16390,3823,43273,4209,"6,134,629,682.87"
202107,247204,16539,991,44111,4904,"5,635,403,313.24"
202108,248829,16888,1041,45094,4047,"5,815,147,584.75"
202109,250814,17402,1068,45631,4119,"5,613,198,593.35"
202110,253539,17466,982,46805,3947,"5,804,690,570.32"
202111,254248,17044,889,46501,3746,"5,838,129,642.12"
202112,256753,16645,1354,46761,3432,"6,244,827,046.06"
202201,257855,16413,1407,47758,3353,"6,267,200,552.51"
202202,257981,16253,1539,48734,3347,"6,316,088,567.69"
202203,257709,16192,1803,49747,5005,"6,607,571,113.62"
202204,259352,16064,2023,51296,5655,"6,196,653,846.94"
202205,261406,15986,5786,50544,4610,"6,304,692,190.15"
202206,264594,16245,4770,51694,4569,"6,248,401,310.41"
202207,267528,17146,1166,52603,4641,"6,328,446,493.95"
202208,270541,17346,1198,53226,4693,"6,409,917,955.51"
202209,273473,17311,1096,52928,3788,"6,439,338,266.04"
202210,275127,17353,1074,50560,3362,"6,311,456,310.08"
202211,276036,17068,1007,50037,3308,"6,417,671,529.74"
202212,277913,16754,1308,49329,2678,"6,293,637,496.83"
202301,279409,16684,1851,49488,2447,"6,597,455,280.78"
202302,279829,16579,1918,49806,2245,"6,748,217,559.50"
202303,280792,16357,2265,49491,4027,"6,761,776,468.23"
202304,281661,16433,2329,49499,3345,"6,515,768,436.28"
202305,283386,16381,6006,49814,3322,"7,013,364,431.71"
202306,290142,16580,5624,51298,3013,"7,292,365,709.40"
202307,291268,16588,1117,52301,3528,"6,943,961,563.48"
202308,291958,16604,1125,53114,3443,"7,125,336,886.72"
202309,293247,16655,1068,53343,3236,"7,688,131,046.45"
202310,293722,16676,1087,53685,2681,"6,993,508,342.56"
202311,293612,16484,937,53934,2562,"9,804,054,357.88"
202312,294960,16492,1492,53854,2460,"7,688,805,201.67"
